ADDRESS,LOCATION,CITY,FAI ID,ASSET TAG,ASSET TYPE,MANUFACTURER,MODEL,SERIAL,MANUFACTURER DATE,CONDITION,CREATED,DATE OF BIRTH,NOTES,POWER SOURCE,SOURCE,TEMP ALERT TAG,UNIQUE FIELDS,STATE,ZIP,AMPS,VOLTAGE,WATTAGE,REFRIGERANT CHARGE,REFRIGERANT UNIT,REFRIGERANT TYPE,AREA,SUB AREA,PHOTO TYPE (1),PHOTO URL (1),PHOTO TYPE (2),PHOTO URL (2),PHOTO TYPE (3),PHOTO URL (3)
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,809570,3684052,1 Door Reach-In Refrigerator,DUKE MANUFACTURING CO,GDM23HCTSL01,9186711,05/23/2017,3,10-27-2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,4.1,OZ,R290,BACK PREP AREA,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,876646,8082668,1 Door Reach-In Refrigerator,EVEREST REFRIGERATION,EMGF23,BMGF2316120003,04/16/2023,4,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,19.75,OZ,R404A,BACK PREP AREA,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,671858,2065818,2 Door Upright Reach-In Freezer,true manufacturing,T-23F,1-2915900,05/06/2001,3,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,12,OZ,R404A,BACK PREP AREA,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,191161,7455324,2 Door Upright Reach-In Freezer,BEVERAGE-AIR CORPORATION,HBF49-1,11307357,07/24/2011,4,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,26,lb,R404A,BACK PREP AREA,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,719176,7402509,3 COMPARTMENT SINK,1 - manufacturer not listed,0,,,3,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,BACK PREP AREA,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,542417,8852574,Mop Sink,1 - manufacturer not listed,0,,,2,10/27/2025,,Fair,,FORM_SUBMISSION,,{},TX,78701,,,,,,,BACK PREP AREA,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,133326,9877065,FIRE SUPPRESSION SYSTEM KIT/HOOD,0AHU FIRE PROTECTION INC.,0,,,5,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,BACK PREP AREA,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,131244,5218028,PRINTER/MACHINE,LINKSYS,E5350,30K10M2BC04373,,3,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,INSIDE STORE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,198246,1192619,Printer/Machine,LINKSYS,E5350,30K10M2BC03688,,3,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,INSIDE STORE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,329258,2921859,Printer/Machine,1 - MANUFACTURER NOT LISTED,0,,,3,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,INSIDE STORE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,343962,5476583,PRINTER/MACHINE,INSEEGO,FX3100-1,990017990618510,,3,10-27-2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,INSIDE STORE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,629903,6707197,BILL RECYCLER,"CITIZEN SYSTEMS JAPAN CO.,LTD.",TZ30-M01,TZ3022Y2937,,2,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,INSIDE STORE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,731262,2871534,Monitor,1 - MANUFACTURER NOT LISTED,0,,,2,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,INSIDE STORE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,127824,5924115,Monitor,HONEYWELL,PRO SERIES,,,4,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,INSIDE STORE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,688508,8294150,INTERCOM SYSTEM,INTRACOM,445AA,666855,,2,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,INSIDE STORE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,308496,3653446,Time clock,DAYFORCE,0,,,3,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,INSIDE STORE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,850800,8612220,Phone,Cisco,CP8841,FCH2107D498,02/02/2017,2,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,INSIDE STORE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,781453,1054447,INTERCOM SYSTEM,1 - MANUFACTURER NOT LISTED,0,,,3,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,OUTSIDE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,835392,5418934,Cash/Drop Box,1 - MANUFACTURER NOT LISTED,0,,,4,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,INSIDE STORE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,671412,9398441,Monitor,INSIGNIA,0,,,4,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,BACK OFFICE / BUSINESS OFFICE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,539898,3997281,ELECTRICAL PANEL,1 - MANUFACTURER NOT LISTED,0,,,2,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,BACK OFFICE / BUSINESS OFFICE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,331148,9517485,Phone,AT&T,E5827,EV402848279,,3,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,BACK OFFICE / BUSINESS OFFICE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,571029,2785277,Printer/Machine,1 - MANUFACTURER NOT LISTED,OM5224AS,2406125698,,3,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,BACK OFFICE / BUSINESS OFFICE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,717889,6007072,Phone,PANASONIC,PNLC1079 YA,,,4,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,BACK OFFICE / BUSINESS OFFICE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,391704,9517169,SAFE,ARMOR SAFE TECNOLOGIES,,250373021041,,3,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,BACK OFFICE / BUSINESS OFFICE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,948749,4337174,Hand sink,1 - MANUFACTURER NOT LISTED,0,,,3,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,BACK OFFICE / BUSINESS OFFICE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,106814,3564217,REFRIGERATOR UPRIGHT REACH IN,ANTHONYS MFG,0101PRNTCFLCLUL,,02/19/1997,5,10/27/2025,,G,,FORM_SUBMISSION,,{},TX,78701,,,,,,,INSIDE STORE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,895667,7273233,REFRIGERATOR UPRIGHT REACH IN,ANTHONYS MFG,0101PRNTCFLCLUL,,02/19/1997,5,10/27/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,INSIDE STORE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,944962,3710343,1 Door Reach-In Refrigerator,ANTHONYS MFG,101NORLT,3346936,,4,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,INSIDE STORE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,267414,9897858,Beer Cave,ANTHONYS MFG,103NAXNTCFLCLUL,3346936,12/08/2023,3,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,INSIDE STORE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,832052,1009594,VACUUM SYSTEM,air saver,,110553,,3,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,OUTSIDE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,543143,6438436,TIRE AIR MACHINE,1 - MANUFACTURER NOT LISTED,0,,,3,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,OUTSIDE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,456778,9197443,VACUUM SYSTEM,AIR SAVER,,110546,,4,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,OUTSIDE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,391369,1326765,SURVEILLANCE SYSTEM,1 - MANUFACTURER NOT LISTED,IP-5IRD8S3B4-28,23065IRD8S3B4280239,,3,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,CARWASH,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,263032,2876828,ELECTRICAL PANEL,1 - MANUFACTURER NOT LISTED,0,,,4,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,CARWASH,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,325772,7089806,ELECTRICAL PANEL,EATON,0,,,3,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,CARWASH,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,900581,6159230,ELECTRICAL PANEL,RYKO,0,,,2,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,CARWASH,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,452944,5017343,ELECTRICAL PANEL,GRUNDFOS,A9908018910000252P12313,95120839,,2,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,CARWASH,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,207175,1971823,ELECTRICAL PANEL,MARK VII,LOW PRESSURE SPOT RINSE PUMPING PLANT 15 HP,SWX-00690,10/30/2023,3,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,CARWASH,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,197251,5041154,ELECTRICAL PANEL,1 - MANUFACTURER NOT LISTED,,,,3,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,CARWASH,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,498382,2321324,ELECTRICAL PANEL,1 - MANUFACTURER NOT LISTED,7040-4161,,,3,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,CARWASH,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,201414,2437026,Carwash,1 - MANUFACTURER NOT LISTED,0,,,3,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,OUTSIDE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,476417,9153566,Falcon Handheld price scanner,FALCON,FALCONX3,G17D07538,04/01/2017,3,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,FRONT PREP AREA,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,988662,2161193,Printer/Machine,ZEBRA,ZQ610,XXZJN222208105,,3,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,FRONT PREP AREA,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,460663,9937326,Trash Valet,1 - MANUFACTURER NOT LISTED,0,,,3,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,OUTSIDE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,733052,3109911,Pump Dispenser,1 - MANUFACTURER NOT LISTED,NN1,EN00287522,06/10/2024,4,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,OUTSIDE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,377370,3154051,ELECTRICAL PANEL,1 - MANUFACTURER NOT LISTED,0,,,4,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,OUTSIDE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,946335,8973915,Trash Valet,1 - MANUFACTURER NOT LISTED,0,,,3,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,OUTSIDE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,145561,3770370,Pump Dispenser,1 - MANUFACTURER NOT LISTED,NL1,EN00287523,04/23/2024,4,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,OUTSIDE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,865179,5446912,Fire Extinguisher,0AHU FIRE PROTECTION INC.,0,,,4,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,OUTSIDE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,581741,9852897,TRASH VALET,1 - MANUFACTURER NOT LISTED,0,,,3,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,OUTSIDE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,662275,8099076,Pump Dispenser,1 - MANUFACTURER NOT LISTED,NL1,EN00287524,07/16/2024,4,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,OUTSIDE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,230889,4553384,Trash Valet,1 - MANUFACTURER NOT LISTED,0,,,3,10/26/2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,OUTSIDE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,ID_TAG,https://placeholder.com/equipment_photo_2.jpg,,
500 INDUSTRIAL BLVD,METRO SERVICE CENTER,AUSTIN,496922,4374754,Pump Dispenser,GILBARCO,NN1,EN00287521,05/28/2024,4,10-25-2025,,Good,,FORM_SUBMISSION,,{},TX,78701,,,,,,,OUTSIDE,,EQUIPMENT,https://placeholder.com/equipment_photo_1.jpg,MANUFACTURER_PLATE,https://placeholder.com/equipment_photo_2.jpg,ID_TAG,https://placeholder.com/equipment_photo_3.jpg
